path	prompt	old_hash	hash_a	hash_b	action	metadata_canonical	class	decision
01_core/src/compiler/eval/bibliography.rs	00_nucleo/prompts/compiler/eval.md	561020cc	2dcd02da	fcd1d272	would_fix	no	missing_metadata	blocked_partial_write
01_core/src/compiler/eval/bibtex.rs	00_nucleo/prompts/infra/bibtex.md	6466459e	7dca55a1	a1887dad	would_fix	yes	single_consumer	candidate_after_linter_fix
01_core/src/compiler/eval/bindings/access.rs	00_nucleo/prompts/compiler/eval/bindings/access.md	4b02da2d	4c754b00	27d61f16	would_fix	yes	single_consumer	candidate_after_linter_fix
01_core/src/compiler/eval/bindings/binding.rs	00_nucleo/prompts/compiler/eval/bindings/binding.md	39a27016	4fdf0355	f5915c2b	would_fix	yes	single_consumer	candidate_after_linter_fix
01_core/src/compiler/eval/bindings/field_access.rs	00_nucleo/prompts/compiler/eval/bindings/field_access.md	7127d586	4f6b7817	6f7ae61e	would_fix	yes	single_consumer	candidate_after_linter_fix
01_core/src/compiler/eval/bindings/method_dispatch.rs	00_nucleo/prompts/compiler/eval/bindings/method_dispatch.md	ed4365fe	75b2a047	2894025f	would_fix	yes	single_consumer	candidate_after_linter_fix
01_core/src/compiler/eval/bindings/mod.rs	00_nucleo/prompts/compiler/eval/bindings.md	5a882ab7	9cd63059	25075799	would_fix	yes	single_consumer	candidate_after_linter_fix
01_core/src/compiler/eval/bindings/value_methods.rs	00_nucleo/prompts/compiler/eval/bindings/value_methods.md	a88fe70d	d0dec858	cf8dcf06	would_fix	yes	single_consumer	candidate_after_linter_fix
01_core/src/compiler/eval/call_dispatch.rs	00_nucleo/prompts/compiler/eval/call_dispatch.md	7b81aac6	2efe6c00	d5e398e3	would_fix	yes	single_consumer	candidate_after_linter_fix
01_core/src/compiler/eval/closures.rs	00_nucleo/prompts/compiler/eval/closures.md	fced6052	e8835c34	29b35d09	would_fix	yes	single_consumer	candidate_after_linter_fix
01_core/src/compiler/eval/control_flow.rs	00_nucleo/prompts/compiler/eval.md	561020cc	2dcd02da	c841c155	would_fix	no	missing_metadata	blocked_partial_write
01_core/src/compiler/eval/flow.rs	00_nucleo/prompts/compiler/eval.md	561020cc	2dcd02da	09a57d6b	would_fix	no	missing_metadata	blocked_partial_write
01_core/src/compiler/eval/font_dict.rs	00_nucleo/prompts/compiler/eval/font_dict.md	2df0f680	082a0308	b7ea0701	would_fix	yes	single_consumer	candidate_after_linter_fix
01_core/src/compiler/eval/markup.rs	00_nucleo/prompts/compiler/eval.md	561020cc	2dcd02da	1ef04de3	would_fix	no	missing_metadata	blocked_partial_write
01_core/src/compiler/eval/math.rs	00_nucleo/prompts/compiler/eval.md	561020cc	2dcd02da	9ba5d036	would_fix	no	missing_metadata	blocked_partial_write
01_core/src/compiler/eval/mod.rs	00_nucleo/prompts/compiler/eval.md	561020cc	2dcd02da	1c252708	would_fix	no	missing_metadata	blocked_partial_write
01_core/src/compiler/eval/modules.rs	00_nucleo/prompts/compiler/eval.md	561020cc	2dcd02da	23981ab0	would_fix	no	missing_metadata	blocked_partial_write
